# pool2 output: 4x4x16
# Format: channel, y, x, value
0, 0, 0, 0
0, 0, 1, 127
0, 0, 2, 127
0, 0, 3, 0
0, 1, 0, 0
0, 1, 1, 127
0, 1, 2, 59
0, 1, 3, 42
0, 2, 0, 0
0, 2, 1, 0
0, 2, 2, 0
0, 2, 3, 127
0, 3, 0, 0
0, 3, 1, 0
0, 3, 2, 0
0, 3, 3, 127
1, 0, 0, 46
1, 0, 1, 12
1, 0, 2, 0
1, 0, 3, 64
1, 1, 0, 48
1, 1, 1, 0
1, 1, 2, 5
1, 1, 3, 58
1, 2, 0, 44
1, 2, 1, 0
1, 2, 2, 44
1, 2, 3, 62
1, 3, 0, 20
1, 3, 1, 0
1, 3, 2, 110
1, 3, 3, 36
2, 0, 0, 0
2, 0, 1, 33
2, 0, 2, 0
2, 0, 3, 23
2, 1, 0, 0
2, 1, 1, 0
2, 1, 2, 0
2, 1, 3, 0
2, 2, 0, 127
2, 2, 1, 127
2, 2, 2, 79
2, 2, 3, 25
2, 3, 0, 0
2, 3, 1, 0
2, 3, 2, 0
2, 3, 3, 0
3, 0, 0, 0
3, 0, 1, 0
3, 0, 2, 0
3, 0, 3, 0
3, 1, 0, 0
3, 1, 1, 0
3, 1, 2, 20
3, 1, 3, 6
3, 2, 0, 68
3, 2, 1, 0
3, 2, 2, 0
3, 2, 3, 0
3, 3, 0, 127
3, 3, 1, 127
3, 3, 2, 127
3, 3, 3, 0
4, 0, 0, 19
4, 0, 1, 51
4, 0, 2, 103
4, 0, 3, 8
4, 1, 0, 0
4, 1, 1, 127
4, 1, 2, 83
4, 1, 3, 0
4, 2, 0, 0
4, 2, 1, 127
4, 2, 2, 96
4, 2, 3, 49
4, 3, 0, 0
4, 3, 1, 0
4, 3, 2, 0
4, 3, 3, 83
5, 0, 0, 0
5, 0, 1, 0
5, 0, 2, 0
5, 0, 3, 0
5, 1, 0, 0
5, 1, 1, 0
5, 1, 2, 47
5, 1, 3, 0
5, 2, 0, 92
5, 2, 1, 127
5, 2, 2, 0
5, 2, 3, 0
5, 3, 0, 127
5, 3, 1, 127
5, 3, 2, 98
5, 3, 3, 0
6, 0, 0, 0
6, 0, 1, 0
6, 0, 2, 0
6, 0, 3, 0
6, 1, 0, 30
6, 1, 1, 16
6, 1, 2, 0
6, 1, 3, 18
6, 2, 0, 127
6, 2, 1, 68
6, 2, 2, 28
6, 2, 3, 69
6, 3, 0, 31
6, 3, 1, 0
6, 3, 2, 19
6, 3, 3, 40
7, 0, 0, 0
7, 0, 1, 0
7, 0, 2, 0
7, 0, 3, 0
7, 1, 0, 0
7, 1, 1, 127
7, 1, 2, 0
7, 1, 3, 62
7, 2, 0, 49
7, 2, 1, 127
7, 2, 2, 0
7, 2, 3, 127
7, 3, 0, 102
7, 3, 1, 92
7, 3, 2, 23
7, 3, 3, 127
8, 0, 0, 126
8, 0, 1, 62
8, 0, 2, 27
8, 0, 3, 48
8, 1, 0, 127
8, 1, 1, 0
8, 1, 2, 127
8, 1, 3, 127
8, 2, 0, 115
8, 2, 1, 41
8, 2, 2, 127
8, 2, 3, 27
8, 3, 0, 35
8, 3, 1, 27
8, 3, 2, 127
8, 3, 3, 0
9, 0, 0, 82
9, 0, 1, 20
9, 0, 2, 74
9, 0, 3, 21
9, 1, 0, 0
9, 1, 1, 79
9, 1, 2, 59
9, 1, 3, 0
9, 2, 0, 0
9, 2, 1, 108
9, 2, 2, 0
9, 2, 3, 30
9, 3, 0, 0
9, 3, 1, 0
9, 3, 2, 0
9, 3, 3, 24
10, 0, 0, 17
10, 0, 1, 85
10, 0, 2, 26
10, 0, 3, 2
10, 1, 0, 79
10, 1, 1, 82
10, 1, 2, 0
10, 1, 3, 56
10, 2, 0, 58
10, 2, 1, 0
10, 2, 2, 56
10, 2, 3, 0
10, 3, 0, 25
10, 3, 1, 38
10, 3, 2, 70
10, 3, 3, 0
11, 0, 0, 41
11, 0, 1, 26
11, 0, 2, 0
11, 0, 3, 17
11, 1, 0, 0
11, 1, 1, 0
11, 1, 2, 40
11, 1, 3, 56
11, 2, 0, 90
11, 2, 1, 9
11, 2, 2, 14
11, 2, 3, 0
11, 3, 0, 46
11, 3, 1, 19
11, 3, 2, 127
11, 3, 3, 127
12, 0, 0, 0
12, 0, 1, 127
12, 0, 2, 0
12, 0, 3, 127
12, 1, 0, 127
12, 1, 1, 127
12, 1, 2, 0
12, 1, 3, 127
12, 2, 0, 127
12, 2, 1, 0
12, 2, 2, 79
12, 2, 3, 127
12, 3, 0, 0
12, 3, 1, 0
12, 3, 2, 56
12, 3, 3, 127
13, 0, 0, 0
13, 0, 1, 0
13, 0, 2, 0
13, 0, 3, 0
13, 1, 0, 69
13, 1, 1, 106
13, 1, 2, 0
13, 1, 3, 0
13, 2, 0, 127
13, 2, 1, 127
13, 2, 2, 45
13, 2, 3, 44
13, 3, 0, 14
13, 3, 1, 0
13, 3, 2, 62
13, 3, 3, 78
14, 0, 0, 0
14, 0, 1, 14
14, 0, 2, 9
14, 0, 3, 0
14, 1, 0, 0
14, 1, 1, 0
14, 1, 2, 0
14, 1, 3, 0
14, 2, 0, 127
14, 2, 1, 127
14, 2, 2, 127
14, 2, 3, 50
14, 3, 0, 0
14, 3, 1, 0
14, 3, 2, 0
14, 3, 3, 0
15, 0, 0, 95
15, 0, 1, 127
15, 0, 2, 12
15, 0, 3, 127
15, 1, 0, 0
15, 1, 1, 14
15, 1, 2, 123
15, 1, 3, 99
15, 2, 0, 14
15, 2, 1, 41
15, 2, 2, 82
15, 2, 3, 10
15, 3, 0, 0
15, 3, 1, 0
15, 3, 2, 56
15, 3, 3, 81
